course_title,course_code,university,country,source_url,academic_year,semester,semester_normalized,study_level,credits,credit_system,ects_credits,aims,course_content,learning_outcomes,assessment_methods,literature
Accounting and Financial Information,ACCT102,University of Canterbury,New Zealand,https://courseinfo.canterbury.ac.nz/GetCourseDetails.aspx?course=ACCT102&occurrence=26S1(C)&year=2026,2026,Semester One,summer,undergraduate,15.0,UC points,7.5,Students will develop an understanding of the structure and functions of general purpose financial reports from a reader's perspective. They will be introduced to current non-financial reporting issues such as the challenge of sustainability within business and society. Students will gain an introductory understanding of management accounting and business finance.,,"The broad objectives of the course are that students will demonstrate an understanding of: 1) the structure and functions of general purpose financial reports from a reader’s perspective 2) management accounting techniques, including cost accounting, cost volume profit calculations, and budgeting and control 3) business finance techniques, including the time value of money, risk and return, project evaluation and the cost of capital This course is open to all students who have been admitted to the university: there are no pre-requisites",Tutorial participation (20%) Online quizzes (10%) Term Test One (20%) Term Test Two (20%) Final Exam (30%),"Textbooks / Resources Required Texts Atrill, Peter; ACCT102 accounting and financial infomation ; 4th edition; Pearson."
Accounting and Taxation: An Introduction,ACCT103,University of Canterbury,New Zealand,https://courseinfo.canterbury.ac.nz/GetCourseDetails.aspx?course=ACCT103&occurrence=26S1(C)&year=2026,2026,Semester One,summer,undergraduate,15.0,UC points,7.5,"The course introduces taxation and accounting in the context of service, retail, manufacturing, tourism, farming and construction businesses. It includes the rudiments of bookkeeping and the preparation of reports about cash flows, profits and accumulating capital and wealth. It caters for accounting and taxation majors, and for entrepreneurially-minded students contemplating running their own businesses.",,"By the end of this course the student should be able to: 1. Explain and apply accounting concepts and principles for general purpose financial reporting. 2. Explain and apply taxation concepts including taxable entities, income and capital. 3. Explain and apply the double entry system of bookkeeping. 4. Apply accounting software to record and analyse financial transactions. 5. Prepare cost and management control reports for organisations.",Learning Reflections (15%) MYOB Project (20%) Test (25%) Final Exam (40%),"Textbooks / Resources Required Texts Shirley Carlon; Accounting: reporting, analysis and decision making ; 8th; John Wiley & Sons Australia Ltd, 2026."
Legal Structures and Foundations of Business,ACCT156,University of Canterbury,New Zealand,https://courseinfo.canterbury.ac.nz/GetCourseDetails.aspx?course=ACCT156&occurrence=26S2(C)&year=2026,2026,Semester Two,winter,undergraduate,15.0,UC points,7.5,"A strong understanding of legal principles is essential for success in any business environment. This course provides a foundational knowledge of the legal structures and rules that regulate business and society in New Zealand, equipping students with the ability to navigate legal challenges in their professional careers. Beyond acquiring legal knowledge, students will develop critical analytical skills, learning to apply legal rules and principles to complex business scenarios, interpret case law and legislation and support well-reasoned conclusions. Whether pursuing careers as directors, managers, employees, contractors or business owners, students will gain essential legal insights that enhance decision-making, mitigate risk and ensure compliance with regulatory frameworks.",,,Term Test (35%) Final Exam (45%) Research Assignment (15%) Tutorial Attendance (5%),
Financial Accounting,ACCT211,University of Canterbury,New Zealand,https://courseinfo.canterbury.ac.nz/GetCourseDetails.aspx?course=ACCT211&occurrence=26S2(C)&year=2026,2026,Semester Two,winter,undergraduate,15.0,UC points,7.5,The course develops further understanding of financial accounting issues for companies and other entities in their New Zealand and international context. Topics include: the NZ regulatory environment; profit determination; presentation of financial statements including group accounts; current issues in financial accounting.,,,,"Textbooks / Resources Required Texts Deegan, Craig; Financial Accounting ; 9th edition; McGraw Hill, 2020."
Management Accounting,ACCT222,University of Canterbury,New Zealand,https://courseinfo.canterbury.ac.nz/GetCourseDetails.aspx?course=ACCT222&occurrence=26S1(C)&year=2026,2026,Semester One,summer,undergraduate,15.0,UC points,7.5,An introduction to contemporary management accounting theory and practice. Topics include: planning and budgeting; cost management; decision-making; performance measurement and evaluation; and strategic management accounting.,,"By the end of the ACCT 222 course it is expected that students will be able to: a) discuss the nature and role of management accounting in organisations b) calculate the cost of products and services using various costing techniques c) discuss the nature and purpose of alternative costing techniques for products and services d) develop budgets and evaluate their purpose and uses, including behavioural implications e) calculate and explain budget and standard cost variances f) make non-routine decisions supported by both financial calculations and evaluation of non-financial issues g) discuss how an organisationâ€™s strategy influences its plans, controls and actions h) calculate and analyse the performance of organisations using financial, non-financial and qualitative measures i) convey their views, analysis and recommendations to others using oral and written forms of communication",Homework (20%) Tutorial Participation (9%) Term Test (35%) Final Exam (36%),"Textbooks / Resources Required Texts Eldenburg, Leslie; Management Accounting ; Fifth Edition; John Wiley & Sons Australia Ltd. This is available as an interactive online textbook. You are able to purchase it on the Wiley Direct website Wiley Direct Note that the website prices are in Australian dollars. If you prefer a printed copy of the textbook, you can purchase it from the University Bookshop. The printed copy comes with an access code so you can also download and access the eBook."
Law of Business Contracts,ACCT252,University of Canterbury,New Zealand,https://courseinfo.canterbury.ac.nz/GetCourseDetails.aspx?course=ACCT252&occurrence=26S1(C)&year=2026,2026,Semester One,summer,undergraduate,15.0,UC points,7.5,This course considers the general principles of contract law and the concepts of consumer law.,,"By the end of this course it is expected that the student will be able to: 1. Acquire knowledge and understanding of the foundation elements of contract law. 2. Demonstrate the ability to use analytical thinking and problem-solving skills to address contract problems. 3. Communicate effectively both orally and in written form. 4. Develop an appreciation of the importance of contract law in a professional environment. 5. Critically evaluate particular areas of contract law, draw conclusions as to their effectiveness and fairness and consider whether reform is desirable.",Term Test (40%) Final Exam (60%),"Textbooks / Resources Required Texts Feehily, Ronan; Tiong, Raymond; An Introduction to the Law of Contract in New Zealand ; 7th; Thomson Reuters New Zealand Ltd, 2024. You will also need a copy of: The Contract and Commercial Law Act 2017, available at https://www.legislation.govt.nz/act/public/2017/0005/21.0/dlm6844033.html"
Taxation,ACCT254,University of Canterbury,New Zealand,https://courseinfo.canterbury.ac.nz/GetCourseDetails.aspx?course=ACCT254&occurrence=26S1(C)&year=2026,2026,Semester One,summer,undergraduate,15.0,UC points,7.5,"The general principles of taxation. Topics include: principles of residence and source, the taxation of income from employment, personal property sales, deductions, depreciation, leases and trading stock and the dispute resolution process. The course will provide a working knowledge of income tax, GST, and FBT.",,"The objectives of the course are: 1. Demonstrate a general understanding of the Inland Revenue and an introduction to the tax investigations process; 2. Demonstrate an understanding of the principles of residence and source; 3. Determine the appropriate tax treatment of various income receipts and deductions; 4. Demonstrate an understanding of both the Fringe Benefit Tax and Goods and Services Tax regimes; 5. Demonstrate an understanding of the tax treatment of partnerships and trusts; 6. Demonstrate an understanding of depreciation, leases and trading stock from a tax perspective; 7. Demonstrate an understanding of the dispute resolution process.",Tutorial submissions (10%) Term Test (40%) Final Exam (50%),"Textbooks / Resources Required texts are: Thomson Reuters New Zealand Taxation 2026: Principles, Cases and Questions. Thomson Reuters New Zealand Taxation 2026 Legislation Handbook. Additional Resources are: CCH New Zealand Master Tax Guide Inland Revenue websites: www.ird.govt.nz; http://taxpolicy.ird.govt.nz/ (Policy Advice Division) Legislation: www.legislation.govt.nz Thomson Reuters New Zealand Taxation 2025 Casebook"
Law of Business Organisations,ACCT256,University of Canterbury,New Zealand,https://courseinfo.canterbury.ac.nz/GetCourseDetails.aspx?course=ACCT256&occurrence=26S1(C)&year=2026,2026,Semester One,summer,undergraduate,15.0,UC points,7.5,"This course considers aspects of the law relating to companies, partnerships and other trading structures and provides an introduction to personal and corporate insolvency law.",,"The objectives of the course are: 1. Acquire knowledge and understanding of the foundation elements of the law relating to business structures, corporate insolvency and corporate governance. 2. Demonstrate the ability to use analytical thinking and problem-solving skills to address problems in these areas. 3. Communicate effectively both orally and in written form. 4. Develop an appreciation of the importance of these areas of law in a professional environment. 5. Critically evaluate particular areas of the present law and consider whether reform is desirable.",Term Test (35%) Group Assignment (10%) Final Exam (55%),"Textbooks / Resources Required Texts Barrett, Jonathan; Understanding company law ; 5th; LexisNexis, 2025."
Advanced Financial Accounting,ACCT312,University of Canterbury,New Zealand,https://courseinfo.canterbury.ac.nz/GetCourseDetails.aspx?course=ACCT312&occurrence=26S2(C)&year=2026,2026,Semester Two,winter,undergraduate,15.0,UC points,7.5,"Develops advanced understanding and abilities in aspects of financial accounting, including financial instruments, tax effect accounting and foreign exchange.",,,Reading quizzes (10%) Workshop preparation (10%) Assignment (15%) Mid-semester test (20%) Final Exam (45%),"Textbooks / Resources Required Texts Deegan, Craig; Financial Accounting ; 9th edition; McGraw Hill Education (Australia) Pty Ltd, 2019."
Public Management and Governance,ACCT316,University of Canterbury,New Zealand,https://courseinfo.canterbury.ac.nz/GetCourseDetails.aspx?course=ACCT316&occurrence=26S1(C)&year=2026,2026,Semester One,summer,undergraduate,15.0,UC points,7.5,"This course empowers students to explore questions and issues arising in Aotearoa New Zealand and further afield as managers and governors of public service organisations go about their business in the dynamic and fast-paced contemporary environment. The course examines how public services are governed and managed locally, nationally and internationally, bringing in such challenges as achieving consensus among publics with differing politics and competing interests, making the most of scarce resources, fulfilling social, cultural, economic, environmental and political responsibilities and persuading people to fund services through higher taxation.",,"Having engaged in learning during the course, students will be able to exemplify and discuss with some critical awareness: * The nature and scope of public management and governance in several service and institutional contexts, including how management accounting and managerial finance figure in the contexts in question * Relevant practices (e.g. governance, planning and budgeting, performance measurement and management, transparency and accountability, evaluation, costing and pricing of services, the sharing of funding between service users and specific and general taxes) in such contexts * Skills inherent in group working and group project outcomes (including communicating, negotiating, coordinating, presenting, other inter-personal skills entailed in administrative and governance practice), and questioning and evaluating the work of other individuals and groups",Learning Blogs (five @ 6% each) (30%) Team Assessment (24%) Learning Reflection (6%) Final Exam (40%),
