course_title,course_code,university,country,source_url,academic_year,semester,semester_normalized,study_level,credits,credit_system,ects_credits,aims,course_content,learning_outcomes,assessment_methods,literature
Applications of Finance,BUST08018,University of Edinburgh,United Kingdom,https://www.drps.ed.ac.uk/25-26/dpt/cxbust08018.htm,2025/26,Semester 2,summer,Undergraduate,20,SCQF credits,10.0,"The course will consolidate the conceptual learning in Principles of Finance by introducing students to some of the practical aspects of finance, for example valuation, company risk management and company restructuring.","The course is designed to complement Principles of Finance. The latter is a theoretical and conceptual course which introduces students to the core ideas of finance. Applications of Finance will fill focus on empirical and practical applications of these concepts and theories. Thus, the course will consolidate the conceptual learning in Principles of Finance by introducing students to some of the practical aspects of finance, for example, valuation, trading strategies based on derivatives, and new finance applications, such as blockchain and high-frequency trading. Outline Content - Financial systems and the investment environment; - Trading, including high-frequency trading; - Currency markets and futures; - Interest rate and currency swaps; - Options and trading strategies; - Socially responsible investing, corporate governance and corporate social responsibility; - Financial crises and investment management. - Blockchain and cryptocurrencies. Student Learning Experience Broadening knowledge of core concepts and ideas in finance, in particular in the areas of investment management, and risk management with derivatives; introduction to empirical research in finance; Further knowledge of financial instruments, markets and transactions; for example, options, forwards/futures, and cryptocurrencies; further knowledge of financial information used by company executives, investors and analysts.","On completion of this course, the student will be able to: Broaden their knowledge and understanding of core concepts and ideas in finance, such as investment management and risk management with derivatives. Undertake a literature review by critically evaluating academic papers in the finance literature. Understand and critically discuss important traditional and new applications of finance, such as forward and futures, options, blockchain and high-frequency trading. Understand and critically discuss the financial information used by company executives, investors and analysts.","Written Exam 70 %, Coursework 30 %, Practical Exam 0 %","This course builds heavily on academic research papers. Therefore, there is no textbook which is recommended that students buy. Instead, students are advised to do the reading as listed under each topic. Additional resources may be added where appropriate, for example where topical readings are published during the semester. Any such material will be highlighted at the start of each lecture. Students may find the following textbooks useful for general background reading (any edition will be suitable) Keith Pilbeam, Finance & Financial Markets, Palgrave Macmillan. Bodie, Kane and Marcus (2010), Investments, McGraw Hill. Maginn, Tuttle, Pinto, and McLeavey (2007) Managing Investment Portfolios: A Dynamic Process, published by CFA Institute and Wiley. Reading financial press and blogs is essential to get the most out of this course."
Business Analytics and Information Systems,BUST08032,University of Edinburgh,United Kingdom,https://www.drps.ed.ac.uk/25-26/dpt/cxbust08032.htm,2025/26,Semester 2,summer,Undergraduate,20,SCQF credits,10.0,This course demonstrates how information systems and decision support tools can be effectively integrated to analyse and solve business problems.,"This course discusses how business analytics and information system tools can be used in synergy to address a variety of business problems. As for the information system part, the emphasis is placed on 1. the illustration of how data can be modelled, stored and retrieved, 2. the application of data management tools to tackle business problems. The focus of business analytics is on: 1. the introduction of a range of prescriptive analytics tools which has been shown to aid decision-making in practice, 2. the utilisation of software with appropriate data to formulate and execute various models, 3. the explanation of the findings from modelling a managerial situation to the relevant stakeholders. Outline Content L 1. Data Management and Database Design L 2. Entity-relationship L 3. Structured Query Language L 4. Introduction to Linear Programming L 5. Sensitivity Analysis and Advanced Applications in Linear Programming L 6. Group Project Proposal Presentation L 7. Introduction to Decision Analysis L 8. Decision Analysis with Experiment L 9. Data Visualization L 10. Guest Speakers and revision Student Learning Experience The course is taught by means of lectures, computer labs, tutorials, and group activities. Lectures cover topics in information systems and data management, such as database design and SQL; as well as a number of business analytics techniques, such as linear programming, decision analysis and data visualisation. Computer labs let students acquire the skills that are necessary to apply these techniques in practice by using state of the art software packages. Tutorials provide an understanding of the theory underpinning the aforementioned techniques. Group activities are designed to let students experience challenges and opportunities that stem from the integration of decision support models and information systems.","On completion of this course, the student will be able to: Apply database design principles and the Structured Query Language to model, store, and retrieve data in database management systems. Transform a verbal business statement into its equivalent mathematical model. Demonstrate a sound knowledge of linear programming and sensitivity analysis. Demonstrate a good knowledge of decision analysis for business problems with uncertainty. Utilise modelling software and solver to formulate business problems and to identify their optimal solutions.","Written Exam 40 %, Coursework 30 %, Practical Exam 30 %","James R. Evans, Business Analytics. Pearson (2nd international edition). 2016 ISBN-13: 978-1292095448 Wayne L. Winston, Operations Research Applications and Algorithms (4th ed.), Brooks/Cole Publishing 1998, ISBN 0534423620 David R. Anderson, Dennis J. Sweeney, Thomas A. Williams, R. Kipp Martin, An Introduction to Management Science: Quantitative Approaches to Decision Making (12th international ed), Cencage 2013, ISBN 978-1-133-58446-9. (Note that other editions of this text have similar content.) Thomas Connolly, Carolyn Begg, Database Systems: A Practical Approach to Design, Implementation and Management, Global Edition, 6th Edition, Pearson, 2015. Frederick S. Hillier and Gerald J. Lieberman, Introduction to Operations Research (7th ed.), McGraw-Hill, 2009, ISBN 0071324836"
Business Economics,BUST08005,University of Edinburgh,United Kingdom,https://www.drps.ed.ac.uk/25-26/dpt/cxbust08005.htm,2025/26,Semester 1,winter,Undergraduate,20,SCQF credits,10.0,This course gives students an understanding of economic principles which enable managers to make optimal decisions and also makes students aware of some government policies which affect the decisions managers can make. The course encourages students to develop a critical and evaluative approach to the principles they are taught.,"The course is divided into topics. Firstly we consider the objectives of owners and managers. Secondly we consider demand and forecasting followed by cost theory and measurement. Then we put these two topics together and consider pricing policy with a particular interest in the interactions between firms. Next we consider pricing and other behaviour which is constrained by government competition policy. We then turn to another managerial policy: advertising decisions and then consider a very common problem: markets where the buyer or seller has different information compared with the other. Finally we look at the implications of being part of a network (e.g. a mobile telephone network). Outline Content 1. Demand Analysis and Estimation 2. Productivity and Efficiency Analysis 3. Market Structure, Conduct and Performance 4. Pricing with Market Power 5. Introduction to Game Theory 6. Oligopoly 7. Asymmetric Information 8. Network Economies Student Learning Experience The lectures will outline the economic principles with case examples. The tutorials will give students the opportunity to apply the principles to particular cases. The coursework essay will give students the opportunity either to apply economic principles to a particular case or to businesses in general.","On completion of this course, the student will be able to: Apply economic concepts for the quantitative analysis of demand, pricing, productivity or efficiency as well as the qualitative understanding of market structure and its implications on firm performance. Formalise and solve decision-making problems related to profit or value maximization in competitive contexts, as well as achieve a qualitative understanding of how network effects and asymmetric information affect market outcomes and business decision-making.","Written Exam 0 %, Coursework 100 %, Practical Exam 0 %","Recommended to buy: M R Baye Managerial Economics and Business Strategy, McGraw Hill, 7th ed., 2010. Additional reading: H. Davies & P. L. Lam Managerial Economics, 3rd ed. Prentice Hall, 2001. I Png & D Lehman, Managerial Economics, 3rd ed., Blackwell, 2007, would be useful. Other suggested reading: W D Reekie & J N Crook, Managerial Economics, 4th ed., Prentice Hall, 1994. D Besanko, D Dranove, S Schaefer and M Shanley, Economics of Strategy, John Wiley and Sons, 6th ed., 2013. T. Jones Business Economics and Managerial Decision Making, John Wiley & Sons, 2004. J Buckley, C Smith & J Zimmerman, Managerial Economics and Organizational Architecture, McGraw-Hill, 5th International Edition, 2009 P G Keat & P Young Managerial Economics, Pearson, 2009. M Moschandreas, Business Economics, Business Press, 2000. G.A. Petrochilos Managerial Economics, Palgrave, 2004"
Business Research Methods 2: Research Design and Application,BUST08056,University of Edinburgh,United Kingdom,https://www.drps.ed.ac.uk/25-26/dpt/cxbust08056.htm,2025/26,Semester 2,summer,Undergraduate,20,SCQF credits,10.0,"Business research has been defined as the systematic gathering, recording and analysing of data about problems relating to businesses. This course, which follows on from Business Research Methods I, introduces further aspects of business research and demonstrates the fundamental role and importance it plays in making of appropriate business decisions. It provides an understanding of the philosophical building blocks of research design, outlines both qualitative and quantitative techniques for data collection and analysis and gives students the chance to collect and analyse data for themselves.","This course is core to the undergraduate programmes in Business Studies single honours and combined degrees, and International Business degrees. The course is designed to fill a gap in the application and analysis of core business research skills, building on key skills acquired in Business Research Methods I. Lectures present critical overviews of key concepts, processes and debates within the subject, relating theories to a wide range of current examples. Outline content - Introduction: Overview of the research process and Academic Research - Research approaches and philosophies & How to conduct a literature review - Qualitative Methodologies & Qualitative Methods of Data Collection - Interviewing - Focus groups - Secondary & Documentary data - Ethnography & Netnography - Qualitative Analysis & Interpretation - Basics of Quantitative Research: Measurement scales, questionnaire design, & sampling - Further considerations of Quantitative Research: Sampling, response rate, & reliability and validity - Different Types of Quantitative Research: Survey & Experiment - Approaches to Quantitative Data Analysis: Preparing the data and choosing appropriate statistical tests","On completion of this course, the student will be able to: Understand the nature and scope of business research, its process, and its philosophical foundations. Define research problems and formulate research questions grounded in relevant literature on a selected topic. Apply their understanding of the stages of the research process and adapt them to a specific research context. Demonstrate an appreciation of various research approaches and research methods (qualitative and quantitative) along with an awareness of both their contribution and limitations. Analyse the data using appropriate methods and tools.","Written Exam 0 %, Coursework 100 %, Practical Exam 0 %","Core text Bell, Harley & Bryman (2022). Business Research Methods (6th edition)"
Business Research Methods I: Introduction to Data Analysis,BUST08033,University of Edinburgh,United Kingdom,https://www.drps.ed.ac.uk/25-26/dpt/cxbust08033.htm,2025/26,Semester 1,winter,Undergraduate,20,SCQF credits,10.0,In modern management it is important to be numerate. The objective of this course is to give the student an appreciation and an ability to employ Quantitative Techniques used in Business and Management Research.,"All Business Management students require the ability to deal with quantitative material, including the collection, collation and analysis of such data. This course introduces students to the quantitative techniques in business mainly centred on statistical aspects. It also provides them with experience in designing questionnaires and report writing. Guidance will be given using Excel and SPSS. Syllabus - Types and Sources of Data - Samples and Surveys - Exploratory Data Analysis - Probability, Estimation and Sampling Distributions - Hypothesis Testing - Non-Parametric Hypothesis Testing - Correlation - Regression Student Learning Experience The course is delivered through lectures, problem-solving sessions, discussion boards and self-experiential learning. The lectures provide the concepts of the techniques for collection, presentation and analysis of data. The tutorials reinforce the use of the techniques through examples and discussion. The student will gain valuable further understanding and experience through reading the appropriate sections in the suggestion text and through the coursework.","On completion of this course, the student will be able to: Describe basic statistical techniques for data collection, presentation and analysis. Critically review the collection, presentation and analysis of data. Understand and explain how to tackle business problems through the use of statistical techniques. Apply statistical techniques to data. Discuss the results of the application of statistical techniques to data in written reports and oral presentation.","Written Exam 60 %, Coursework 40 %, Practical Exam 0 %",The core text for this course is OpenIntro Statistics 4e: https://www.openintro.org/book/os/. Course URL http://www.bus.ed.ac.uk/programmes/ugpc.html
Business Simulation,BUST08031,University of Edinburgh,United Kingdom,https://www.drps.ed.ac.uk/25-26/dpt/cxbust08031.htm,2025/26,Semester 2,summer,Undergraduate,20,SCQF credits,10.0,"Business Simulation is a practical, integrative business course that requires teams of students to operate a simulated start-up business. Acting as a board of directors, students set the direction for the company to build up the business by making decisions related to its strategy, finance, market, operations, staffing and innovation. It aims to foster interdisciplinary decision-making in an inexact environment and to prepare students for the problems and issues of working in a changing and uncertain world. This course has a quota of 120 students.","Business Simulation is built around a computer-based business simulation of a technology company start-up. Students on the course are formed into company teams of six or so members who will self-allocate themselves into the different board of director roles (Strategy, Finance, Marketing, Operations, HR/Organisation and Innovation) to manage their simulated company through a series of five simulation rounds that represent two years in the life of the company. The purpose of the course is to provide an experiential learning environment where the connectivity of the different functions within a business is made explicit. Students will have the opportunity to apply their learning from the earlier elements of their degree programme to the problems presented by the simulation; and are required to develop the business, justifying and reporting the decisions they make for their simulated firm. Students will also learn via taught classes each week. These will cover (in the order indicated below) the various business functions that relate to running a business, focusing initially on lessons drawn from the simulated environment then introducing guest lectures where a practitioner will present a talk about their business experience. This provides a link between the theoretical and practical nature of business management and background and context for the various company groups in managing their business start-ups. Syllabus: L1: Introduction L2: The aims, structure and function of a business L3: Planning for a start-up business L4: Organising a small business L5: Effective team working L6: Guest Speaker: Case Example - Organising a small business. L7: Market analysis L8: Marketing and sales strategy L9: Operations management L10: Guest speaker: Case Example - Operations in a Small Business Innovative Learning Week Non-teaching week L11: Measuring business performance L12: Guest speaker: Case Example - Financing a Small Business L13: Finance options for business expansion L14: Guest Speaker: Contemporary issues in new venture finance L15: Innovation L16: Guest speaker: Case Example: Disruptive Innovation L17: Leadership in the context of small business L18: Guest speaker: Leading Successful New Ventures L19: Debrief and lessons L20: Guest Speaker: Growth Strategies and Crossing the Chasm Student Learning Experience As a course, Business Simulation is built around a computer-generated business start-up simulation. Students are formed into groups of six to be the managers of a business start-up where they have to make the necessary strategic, marketing, financial, operational and organisational decisions for their start-up and throughout the course of the simulation which over the duration of the course will represent two years of the business' operations. Group interactions allow students to learn about the issues surrounding teamwork, effective leadership and the development of social skills within organisations.","On completion of this course, the student will be able to: Understand different perspectives on business decisions and develop intuition, judgement and be able to undertake critical analysis in a dynamic, uncertain and complex environment. Evaluate data and information, determine its relevance and validity and apply this to develop an understanding of the simulated business environment and to guide their strategic decision making and creative thinking. Demonstrate an ability to apply general management know-how as a member of a team in a simulated business setting. Understand and be able to exercise managerial responsibility and work effectively as a team in an organizational setting, including issues of leadership and motivation. Understand the interrelationship and interdependence of the separate functional aspects of business management in a holistic/real world context, including conveying complex information to a range of audiences.","Written Exam 0 %, Coursework 100 %, Practical Exam 0 %","The course is based around a computer-based business simulation, which students access via a browser and which provides information and reports on the development and condition of the simulated business. This computer-based tool provides the simulated economic and business environment, keeps records of all group actions and provides data and information that students can use to make decisions within the simulated business environment. The simulation environment also includes a bespoke collection of chapters containing academic research on the management of business to help link the practical nature of the course and the practical experience of the guest speakers to tools of management that have been developed in wider business contexts. These chapters form a text for the course that is retained by each student on completion."
Human Resource Management 2,BUST08027,University of Edinburgh,United Kingdom,https://www.drps.ed.ac.uk/25-26/dpt/cxbust08027.htm,2025/26,Semester 2,summer,Undergraduate,20,SCQF credits,10.0,"This course examines the nature and meaning of human resource management (HRM) set against the backdrop of institutional frameworks, recent changes in the economy and the labour market as well as contemporary organisational strategies. It has both a UK and an international focus and it treats HRM as a blanket term to describe the employment relationship in any organisation rather than focusing on HRM as a particular style of management. The course draws heavily on research analysing contemporary developments in HRM and employment, and wherever possible we draw out implications for real-life organisations and HR policy and practice.","The course focuses on a number of key themes to provide a critical flavour of the subject. We adopt a broadly critical approach by i) questioning whether HRM leads to beneficial outcomes for workers as well as for employers and society and ii) offering insight into the practical and conceptual significance of change processes currently affecting HRM in Britain and overseas. HRM 2 is especially suited to those who want an introduction to HRM and employment issues and are taking it as part of a degree programme where an understanding of HRM is seen as an important complement to their specialist studies. As such, it is appropriate for students from a diverse range of backgrounds - offering a critical (and essential) overview of HRM for students working towards a business degree as well as offering an essential foundational perspective for students studying for the Business with HRM degree. Following an overview of the economic and labour market context, the impact of key stakeholders (i.e. management, unions, the State, and global actors such as the EU and multinationals) on organisations and HRM policy formulation and practice is examined in detail. The remainder of the course considers HRM in key practice areas such as recruitment and selection; training and development; performance management; remuneration; work-life balance; workplace discipline; career management; and equality and diversity. Outline Content Introduction: The Economic & Labour Market Context SECTION 1: KEY STAKEHOLDERS Key Stakeholders 1: Management - Best practice/high commitment approach to HRM - Best fit/Resource based view of HRM Key Stakeholders 2: Trade Unions - Trade unions & collective bargaining Key Stakeholders 3: The State - A feature of employment law: National Minimum Wage Key Stakeholders 4: Global Actors - European Work Councils - Information & Consultation with Employees - Multinationals & HRM SECTION 2: MANAGING EMPLOYMENT RELATIONS & HRM - Recruitment and selection - HRM & Employer branding - Remuneration systems - Equality & diversity - Work-life balance - Training & development - Workplace discipline, grievance and dismissal - Employee involvement & engagement - Managing Careers - Managing Conflict Student Learning Experience The formal lectures provide an overview of the essential features of the subject, together with guidance on the content of recommended reading and current sources of additional information. Given the contemporary nature of the subject, reliance is placed upon current periodicals as the chief source of reading material (a range of top quality titles such as Human Resource Management, Journal of Management Studies, British Journal of Industrial Relations etc.) are recommended. The tutorial topics are detailed in the course booklet. Attendance at tutorials is compulsory. At each meeting one student/a small group of students will be responsible for preparing and presenting the tutorial topic as a basis for subsequent group discussion. Topics are allocated in advance to allow adequate preparation, and include predominantly focus on organisational case studies in order to allow students to consider lecture material from the practitioner angle. However, other approaches such as Web-based projects and practical and literature-based exercises have also been incorporated to enhance students' learning experience through tutorial discussions.","On completion of this course, the student will be able to: Explain how wider institutional frameworks shape the nature of HRM at the organisational level. Critically discuss current managerial and public policy approaches towards key employment matters. Understand and discuss the changing context in which HRM takes place, highlighting the factors external and internal to the organisation that shape HRM. Understand and discuss how different aspects of HRM are put into practice within organisations both in the UK and at an international level. Critically assess the interrelationship between HR practices and workers at an individual and collective level.","Written Exam 0 %, Coursework 100 %, Practical Exam 0 %","Reading is an essential part of the course and students who rely solely on lecture material are unlikely to perform adequately. For ease of access and reliance on up-to-date materials the course highlights a lot of electronic sources (journal articles are available through the university library website). Additionally, key textbooks can be referred to for many of the course topics: Bach, S & Edwards, M.R. (eds.) (2013), Managing Human Resources (5th Edition), Chichester: Wiley Ltd. Williams, S and Adam-Smith, D (2009), Contemporary Employment Relations: A Critical Introduction, Oxford: Oxford University Press. There are multiple copies of both books in the Main Library and both are available for purchase at Blackwell's. However, much of the course is specifically built around current periodicals, given the fast-changing nature of this field of study. The following journals are especially recommended: Human Resource Management Journal. British Journal of Industrial Relations (BJIR). Other journals that contain much of relevance to the course include: Employee Relations, Journal of Management Studies, People Management (formerly Personnel Management), Personnel Review, Work, Employment and Society, International Journal of HRM and New Technology, Work and Employment. Planned Student Learning Experiences The formal lectures provide an overview of the essential features of the subject, together with guidance on the content of recommended reading and current sources of additional information. Given the contemporary nature of the subject, reliance is placed upon current periodicals as the chief source of reading material."
Innovation and Enterprise,BUST08053,University of Edinburgh,United Kingdom,https://www.drps.ed.ac.uk/25-26/dpt/cxbust08053.htm,2025/26,Semester 2,summer,Undergraduate,20,SCQF credits,10.0,"All enterprises must innovate to respond to social changes, changes in technology and changes in their market. This course will provide you with both the skills and knowledge to lead enterprises in their development of new products and services, and in the introduction of new and better ways of working. These skills and this knowledge also are a foundation for turning your inchoate enterprise ideas into a successful new venture. These skills and this knowledge will build a platform that you may then extend in more specialised studies of innovation, entrepreneurship, and enterprise in the Schools excellent honours courses.",The aim of this course is to give students an understanding of current concepts for understanding processes of innovation in new ventures and established organisations across all sectors. The second aim of this course is to provide students with the skills to analyse innovation and work in a group to suggest how processes of innovation and improvement can themselves be improved. Student Learning Experience The course will be taught using two hours of lectures per week supplemented by background resources and guided learning exercises delivered through Learn. The knowledge objectives of the course will be assessed in the end of course examination. The context specific and general skills aims of the course will be assessed through the group exercises. Students will be provided with mid-course formative feedback on a non-assessed mid-course submission.,"On completion of this course, the student will be able to: Demonstrate a discerning understanding of a range of core theories, concepts, principles and terminology related to innovation in enterprises. Use a range of professional skills, techniques and practices associated with innovation in enterprises, a few of which are advanced and/or complex. Undertake critical analysis, evaluation and synthesis of ideas, concepts, information and issues that are within common understandings in the management of innovation in enterprises. Exercise autonomy and initiative in some activities at a professional level in the critical analysis of innovation in enteprises.","Written Exam 50 %, Coursework 50 %, Practical Exam 0 %","Core Text: Becoming a Critical Thinker, S.Ivory,OUP,2021 Key Journals: Harvard Business Review"
International Business and the Multinational Enterprise 2B,BUST08009,University of Edinburgh,United Kingdom,https://www.drps.ed.ac.uk/25-26/dpt/cxbust08009.htm,2025/26,Semester 2,summer,Undergraduate,20,SCQF credits,10.0,"The course will examine the role of the multinational enterprise and the process of foreign direct investment; issues relating to culture, technology, intellectual property rights and finance are discussed; the international regime and the interaction between governments and investors will also be reviewed. This course is designed to be complementary to International Business 2A.","This course takes as its theme the strategies and operational activities of the multinational enterprise doing business in the global economy. This includes an assessment of the relationship between MNEs and the host governments of the nations states in which the MNE locates its operations. Student Learning Experience The lecture programme provides an overview of international business concepts and practices, and is supported by suggested readings from the course text. The compulsory weekly tutorials comprise a mix of conventional Teaching Assistant-supported group exercises and audio-visual exercises. The tutorials are used to support and develop concepts and theories taught in the lectures. The audio-visual sections allow students to observe the practices of companies in the international business area. The course assignment requires students to write a report relating a company's experience in an international business environment and to analyse their activities. International Business: Globalisation and Trade 2A (BUST08008) is recommended.","On completion of this course, the student will be able to: Understand and discuss why enterprises choose to expand their operations across national borders, and the alternative strategies enterprises may adopt to exploit overseas markets. Understand and discuss the organisational implications of international operations including the implications for individual managers. Understand and discuss operational aspects of multinational enterprise including: sourcing and logistics, technology management, protection of intellectual property rights and financial management. Understand and discuss the interactive relationships between MNEs and host governments and the arguments for and against promoting (or constraining) inward foreign investment by host governments. Understand and discuss the challenge of international marketing and exporting in a world of fluctuating exchange rates and non-tariff barriers.","Written Exam 65 %, Coursework 35 %, Practical Exam 0 %","Strongly recommended for purchase International Business and the Multinational Enterprise Volume 2 - Custom, 1st edition, Alan Brown Optional purchase Hill C. (2006), International Business (Competing in the Global Marketplace), 6th edition, McGraw-Hill/Irwin. .Czinkota, M.R. & Kotabe, M. (1998), Trends in International Business: Critical Perspectives, Blackwell. .Dicken, P. (2007), Global Shift: Mapping the contours of the world economy, 5th edition, Sage. .Kotler, P. (2000), Marketing Management, Prentice Hall. Vernon-Wortzel, H. & Wortzel, L.H. (1995/1997), Global Strategic Management: The Essentials, 2nd or 3rd edition, Wiley. .Bartlett, C.A. & Ghoshol, S. (1999), Transnational Management: Text, Cases and Reading in Cross-Border Management, 2nd edition, Irwin. .Dunning, J.H. (1988), Explaining International Production, Unwin Hyman."
International Business: Globalisation and Trade 2A,BUST08008,University of Edinburgh,United Kingdom,https://www.drps.ed.ac.uk/25-26/dpt/cxbust08008.htm,2025/26,Semester 1,winter,Undergraduate,20,SCQF credits,10.0,"The course will examine different types of foreign market entry strategy; the world trade regime and the various elements that comprise this environment eg. EU/ NAFTA; and issues in International Finance, Management, Production and Labour.","The IBGT course is devoted to an analysis of the global business environment, concentrating particularly on the world trading system including the increasingly important role played by the international financial institutions. The IBGT course, focusing more on macro-economic business patterns, processes and institutions, provides the basis for the IBMNE which looks more at the micro-level and the individual firm in a global business environment. Student Learning Experience The lecture programme provides an overview of international business concepts and practices, and is supported by suggested readings from the course text. The compulsory weekly tutorials comprise a mix of conventional Teaching Assistant-supported group exercises and audio-visual exercises. The tutorials are used to support and develop concepts and theories taught in the lectures. The audio-visual sections allow students to observe the practices of companies in the international business area.","On completion of this course, the student will be able to: Understand and discuss the processes behind the globalisation of the world economy, tempered by an understanding of the way in which economic, political and cultural diversity persists, and constrains the homogenisation of consumer behaviour. Understand and discuss the importance and dynamics of the world trading system for global economic development and international business. Understand and discuss the significance of trade for the major world economies, shifts in their competitive advantages and the threats to free trade. Understand and discuss the significance of MNE for investment, employment and the physical environment at the nation state level.","Written Exam 0 %, Coursework 100 %, Practical Exam 0 %","Strongly recommended for purchase Brown, A. (2018). International Business: Globalization & Trade. 1st Edition. Pearson. Optional purchase Collinson, S., Narula, R., & Rugman, A. M. (2020). International business. 8th Edition. Pearson UK. Cavusgil, S. T., Knight, G., Riesenberger, (2020). International business: The New Realities. 5th Edition. Pearson International Edition. Mankiw, G. and Taylor, M. (2014) Economics, 3rd ed. South-Western, Cenage Learning Stutz, F., P., Warf, B. (2014) The World Economy: Resources, Location, Trade and Development. 6th Edition. Pearson."
