course_title,course_code,university,country,source_url,academic_year,semester,semester_normalized,study_level,credits,credit_system,ects_credits,aims,course_content,learning_outcomes,assessment_methods,literature
"Accounting, Business and Society",ACCT1010,The Hong Kong University of Science and Technology,Hong Kong,https://prog-crs.hkust.edu.hk/ugcourse/2025-26/ACCT,2025-26,,,undergraduate,3.0,HKUST credits,6.0,"Overview of accounting in business and social contexts; use of accounting information for accountability and decision-making in companies, non-profit organizations, and government; major elements of accounting, including assets, liabilities, revenues and expenses; discharge of accountability by companies through corporate social and environmental reports. The aim of this course is to make students aware of how accounting could be applicable to fundamental business transactions and ways to evaluate how businesses are operated.",,"1. List the broad framework of ethics, corporate governance, and corporate social responsibility, while demonstrating the knowledge and respect of ethics and ethical standards in accounting in particular 2. Explain the roles of accounting in business and social contexts; and their bearings on corporate social and environmental accounting 3. Identify the different users of accounting information and their information needs; and the approaches to use the information in financial statements according to their needs 4. Identify and describe broad aspects of appropriate accounting treatments for different transactions of different organisations, and how such may address stakeholders’ information needs 5. Read, interpret, and analyze financial statements, including the balance sheet, the income statement, and the cash flow statements",,
Laws in Society and Business,ACCT1610,The Hong Kong University of Science and Technology,Hong Kong,https://prog-crs.hkust.edu.hk/ugcourse/2025-26/ACCT,2025-26,,,undergraduate,3.0,HKUST credits,6.0,"This course provides an introduction to law and business society. Topics include general introduction to the concepts in law; an introduction to the Hong Kong legal system under the principle of ""one country, two systems""; copyright law; trademark law; agency law; insolvency law; employment law and business ethics. As Hong Kong is a well-developed business society, this course is intended to build students' understanding of the relationship between the law and the society and discuss laws in society and business.",,"1. To build students’ understanding of the relationship between the law and the society 2. To enhance selected skills like analytical and critical thinking, effective communication and team work 3. To discuss the importance of ethical responsibility and apply the ethical standard to resolve the dilemmas 4. To analyze the law of agency and attain a balance between the principal and the agent 5. To analyze the law of copyright and attain a balance between the copyright owner and the user 6. To analyze the law of trademarks and attain a balance between the trademark owner and the general public 7. To analyze the law of insolvency and attain a balance of interests among different stakeholders",,
Principles of Accounting I,ACCT2010,The Hong Kong University of Science and Technology,Hong Kong,https://prog-crs.hkust.edu.hk/ugcourse/2025-26/ACCT,2025-26,,,undergraduate,3.0,HKUST credits,6.0,"For SB&M students, and programs that designate the course as a required/specified elective course. This is the first course of the principles of accounting sequence. Introduction to the concepts and principles of financial accounting, including the analysis, recording, and reporting of business transactions and preparation of financial statements.",,"1. Understanding Basic Accounting Concepts. 2. Transaction Analysis: Apply conceptual knowledge to business transactions and translate them into financial statements. 3. Financial Statements Preparation: Learn to prepare and understand the four major financial statements: Balance Sheet, Income Statement, Statement of Cash Flows, and Statement of Stockholder’s Equity. 4. Financial Statement Analysis: Demonstrate the skills to read, analyze, and interpret financial statements and key financial ratios. 5. Understanding Ethical Principles: Recognize the importance of ethics in accounting and the impact of ethical (unethical) behaviors on financial reporting and business practices.",,
Principles of Accounting II,ACCT2200,The Hong Kong University of Science and Technology,Hong Kong,https://prog-crs.hkust.edu.hk/ugcourse/2025-26/ACCT,2025-26,,,undergraduate,3.0,HKUST credits,6.0,"For SB&M students, and programs that designate the course as a required/specified elective course. This is the second course of the principles of accounting sequence. It introduces concepts, accounting methods, and analytical tools related to managerial and cost accounting. Topics include fundamental cost concepts, job-order and process costing systems, CVP analysis, budgets and standards, segment reporting, and decision-making using cost information.",,"1. Define and classify cost accounting concepts used by managers. 2. Apply and analyze various costing methods to calculate and interpret costs used by manufacturing organizations. 3. Analyze different types of cost behaviors and evaluate the relationships between cost, volume, and profit. 4. Apply management accounting principles to analyze and interpret relevant information for effective decision-making. 5. Understand the benefits of budgeting and prepare the master budget. 6. Understand how standard costs are determined and variances are investigated. 7. Understand how management accounting utilizes financial accounting information for the measurement of the performance of individuals and business segments. 8. Understand and apply various capital budgeting tools.",,
Financial Accounting I,ACCT3010,The Hong Kong University of Science and Technology,Hong Kong,https://prog-crs.hkust.edu.hk/ugcourse/2025-26/ACCT,2025-26,,,undergraduate,3.0,HKUST credits,6.0,Study of the application of generally accepted accounting principles to accounting for business organizations; evaluation of balance sheet accounts and the related effects on income determination.,,"1. Think critically and creatively and make effective decisions supported by analytical and quantitative techniques. 2. Demonstrate an ability to understand in-depth grasp of financial accounting frameworks. 3. Demonstrate sophisticated user of financial accounting information by interpreting financial strategies, assess financial risk and understand financial accounting choices made by managers. 4. Demonstrate an understanding of the international dimensions of accounting. 5. Understand the role played by accountants in providing and ensuring the integrity of financial and related information. 6. Demonstrate an understanding of the accounting environment in Hong Kong. 7. Demonstrate an understanding of ethical challenges, creative accounting, and earnings management issues, and develop ethical and social responsibility.",,
Financial Accounting II,ACCT3020,The Hong Kong University of Science and Technology,Hong Kong,https://prog-crs.hkust.edu.hk/ugcourse/2025-26/ACCT,2025-26,,,undergraduate,3.0,HKUST credits,6.0,"Continuation of ACCT 3010. Special problems in accounting for owner's equity and long-term liabilities including corporate bonds, leases, deferred taxation and pensions.",,"1. Demonstrate an ability to understand in-depth grasp of financial accounting frameworks. 2. Demonstrate an effective user of financial accounting information by interpreting financial strategies, assess financial risk and understand financial accounting choices made by managers. 3. Understand the role played by accountants in providing and ensuring the integrity of financial and related information. 4. Demonstrate an understanding of the international dimensions of accounting. 5. Demonstrate an understanding of the accounting environment in Hong Kong.",,
Intermediate Financial Accounting for Non-Accounting Majors,ACCT3030,The Hong Kong University of Science and Technology,Hong Kong,https://prog-crs.hkust.edu.hk/ugcourse/2025-26/ACCT,2025-26,,,undergraduate,3.0,HKUST credits,6.0,Financial accounting concepts and practices with particular emphasis on the analysis and interpretation of financial reports and data.,,"1. Think critically and creatively in making effective decisions supported by analytical and quantitative techniques. 2. Explain the interdependence and distinctive elements of accounting, finance and economics, and integrate them to solve business problems. 3. Apply financial accounting frameworks to business situations. 4. Demonstrate an understanding of the international dimensions of accounting. Identify the activities/issues in accounting that may present ethical challenges, and articulate the consequences associated with unethical behavior.",,
Advanced Management Accounting,ACCT3210,The Hong Kong University of Science and Technology,Hong Kong,https://prog-crs.hkust.edu.hk/ugcourse/2025-26/ACCT,2025-26,,,undergraduate,3.0,HKUST credits,6.0,"This course covers advanced quantitative methods for management decision-making (decision trees, linear regression, learning curves, and linear programming), pricing and transfer pricing decisions, allocation of common and joint costs, variance analysis, performance measurement and incentive compensation.",,1. Analyze and evaluate a variety of business problems to develop effective and innovative solutions. 2. Develop leadership skills by solving operational and strategic planning problems. 3. Demonstrate communication skills through class participation and case discussions.,,
Business Law,ACCT3610,The Hong Kong University of Science and Technology,Hong Kong,https://prog-crs.hkust.edu.hk/ugcourse/2025-26/ACCT,2025-26,,,undergraduate,3.0,HKUST credits,6.0,"This course is to provide students with an awareness of the overall legal framework in which businesses in Hong Kong operate so as to enable them to apply the relevant laws and practices to business problems and practical solutions. The main objective is to give students an understanding of how the society and business function in different socio-legal contexts like the legal system and process and its influence on citizens’ social rights and duties; the enforcement and honoring of agreement between private citizens, the use of business organizations in commercial society, the relationship between employee and employer from social and legal perspectives, the growing importance of business ethics and corporate social responsibilities etc.",,1. Analyze the principal concepts of the contract law. 2. Analyze the principal concepts of the law of tort and negligence. 3. Analyze the principal concepts of the consumer laws. 4. Analyze the principal aspects of regulations that govern the different business organizations. 5. Analyze the principal concepts of the employment laws. 6. Understand the principal concepts of the data protection laws.,,
"ESG Measurement, Disclosure and Applications",ACCT3630,The Hong Kong University of Science and Technology,Hong Kong,https://prog-crs.hkust.edu.hk/ugcourse/2025-26/ACCT,2025-26,,,undergraduate,3.0,HKUST credits,6.0,"Environment, Society and Governance (ESG) are three pillars in the emerging system of sustainable finance. This course is designed for students interested in the concept of ESG, especially for those who aspire to learn about the measurement and disclosure of ESG and their applications in the management of business and investment. The course covers topics such as the history and regulations of sustainable finance, the concept and measurement of ESG risks, the disclosure framework and ratings of ESG, the ESG-related investing approaches and financial products. It also covers how management can integrate climate-related risks into business strategies and capture low-carbon opportunities. For all UG students in Year 3 or above.",,1. Understand the concepts of ESG and sustainable finance. 2. Understand the measurement of ESG factors and analyze their disclosures. 3. Understand the processes and limitations of ESG ratings. 4. Understand the concept of climate risks and analyze their disclosures. 5. Understand how to consider ESG in investing. 6. Understand how to integrate climate-related risks into business strategy and capture low-carbon opportunities.,,
