course_title,course_code,university,country,source_url,academic_year,semester,semester_normalized,study_level,credits,credit_system,ects_credits,aims,course_content,learning_outcomes,assessment_methods,literature
Economics,2OP811,Prague University of Economics and Business,Czech Republic,https://insis-test.vse.cz/katalog/syllabus.pl?predmet=71103;aktualni=1;poc_obdobi=1230,2026/2027,WS 2026/2027,winter,bachelor,6.0,ECTS,6.0,The couse is focused on basic economic categories and their interdependence. Student becomes familiar with basic models in the field of economics.,1.Introduction into economics (allowance 1/0) a. Economics -- science about human dealings (social science) b. Function of prices c. Economic (business) cycle 2.Consumer and producer behaviour (allowance 2/0) a. Demand and utility b. Price elasticity of demand c. Supply and costs d. Price elasticity of supply 3.Market equilibrium (allowance 1/0) a. Efficiency of market equilibrium b. Change of equilibrium c. State price interventions 4.International trade (allowance 2/0) a. Absolute advantages b. Comparative advantages c. Import tariff 5.Perfect and imperfect markets (allowance 3/0) a. Perfect markets b. Monopolist competition c. Oligopoly d. Monopoly 6.Market of producer factors (allowance 2/0) a. Demand for a producer factor b. Supply of a producer factor c. Labour market d. Capital market e. Unemployment 7.Ownership and externalities (allowance 2/0) a. Private and public ownership b. Ownership vs. management c. Positive and negative externalities 8.Domestic product (allowance 1/0) a. Gross and net domestic product b. Nominal and real domestic product c. Domestic product as an added value d. Aggregate expenses and incomes 9.Consumption and investments (allowance 1/0) a. Consumption function b. Planned investments and equilibrium GDP c. Income effect of investments 10.Money and banking system (allowance 1/0) a. Money balances as liquid assets b. Demand for money balances c. Banks and money creation d. Money stock e. Money market equilibrium 11.Aggregate demand and supply (allowance 1/0) a. Aggregate demand b. Aggregate supply c. Potential product 12.Economic (business) cycle and economic growth (allowance 1/0) a. Stages of economic cycle b. Financial crisis c. Economic growth 13.Inflation (allowance 1/0) a. Inflation and redistribution b. Demand-pull inflation c. Supply-shock inflation d. Phillips curve 14.Exchange rate and balance of payments (allowance 3/0) a. Interest rate parity b. Purchasing power parity c. Balance of payments 15.Public finances (allowance 2/0) a. Public budgets and state budget b. Taxes and Laffer curve c. Budgetary deficits and state debt 16.Monetary policy (allowance 2/0) a. Goals and instruments of monetary policy b. Compatibility of monetary policy goals c. Inflation behaviour,- identify the scope of economic research - define and explain basic economic categories and causalities - characterize behavior of both consumer as well as firm on micro level - examine economic policy of government and central bank on macro level,Term paper: 40 % Final test: 60 %,"Basic: Holman, R. (2005). Ekonomie. C.H. Beck. Recommended: Macáková, L. (2010). Mikroekonomie : základní kurs. Melandrium. Pavelka, T. (2007). Makroekonomie : základní kurz. Melandrium. Pošta, V., & Sirůček, P. (2008). Makroekonomie : základní kurz : cvičebnice. Melandrium. Macáková, L., Nečadová, M., & Sirůček, P. (2003). Mikroekonomická teorie I. : cvičebnice. Melandrium."
Financial Accounting,2OP816,Prague University of Economics and Business,Czech Republic,https://insis-test.vse.cz/katalog/syllabus.pl?predmet=122664;aktualni=1;poc_obdobi=1230,2026/2027,WS 2026/2027,winter,bachelor,6.0,ECTS,6.0,"Accounting as an information tool for the decision-making of an entity’s owners, managers, investors in capital markets, creditors and other users of financial statements. Fundamental elements of financial statements and their content. Impacts of transactions and events on financial position and performance. European and worldwide regulation and harmonisation of accounting.","1.Introduction to accounting: the nature, principles of financial accounting, characteristics of accounting. Objectives of financial accounting, scope of financial reporting, users of financial statements. Audit. Publishing of financial statements. Annual Report. (allowance 0/2) a. Objectives of financial accounting, scope of financial reporting b. Users of financial statements c. Audit. Publishing of financial statements. Annual Report 2.Accounting categories and definitions, characteristics of accounting elements, accounting cycle, standardization of financial reporting. (allowance 0/2) a. Elements of accounting method: balance sheet equation, nature of accounts b. Documentation, controls, measurement; transaction analysis c. Trial balance 3.Income statement accounts (allowance 0/2) a. Expenditures and receipts b. Expense and revenue c. Classification of expenses by nature d. Classification of expenses by function 4.Business models: a trade company vs. a manufacturer. (allowance 0/2) 5.Conceptual framework. Features of world harmonization process (allowance 0/2) a. EU Directives b. US GAAP c. IFRS 6.Non-current assets (allowance 0/2) a. Definition, classification b. Measurement, depreciation and amortisation 7.Inventory (allowance 0/2) a. Definition, classification b. Classification 8.Investments (allowance 0/2) a. Definition, classification b. Presentation c. Measurement d. Transactions 9.Receivables and revenues (allowance 0/2) a. Recognition principle b. Measurement c. Accruals assets d. Contingent assets 10.Liabilities and provisions (allowance 0/2) a. Classification b. Measurement c. Accruals and deferrals, contingent liabilities 11.Equity (allowance 0/2) a. Classification b. Features of different types of companies c. Capital contribution and distribution d. Transactions e. Statements of Changes in Equity f. Statement of Comprehensive Income 12.Cash flow statement (allowance 0/2) a. Notes to financial statements 13.Decision-usefulness of accounting data and its limits. Financial statements analysis. (allowance 0/2)","- understand the content of financial statements for external users; - define and explain the nature of fundamental elements of financial statements; - record the basic economic transactions on the face of financial statements; - master the accounting cycle, including double-entry; - prepare an elementary set of financial statements; - describe the main features of accounting regulation and harmonisation both in national and international context.",Active lecture/seminar/workshop/tutorial participation: 6 % Term paper: 40 % Final test: 54 %,"Basic: Janhuba, M., Míková, M., Roubíčková, J., & Zelenka, V. (2016). Finanční účetnictví : obecné otázky. C.H. Beck. Janhuba, M. (2010). Teorie účetnictví : (výběr z problematiky). Oeconomica. Bokšová, J., Dvořáková, D., Pelák, J., Procházka, D., Roubíčková, J., Skálová, J., Svoboda, M., Vašek, L., Zelenková, M., & Černý, V. (2015). Účetnictví I. - sbírka příkladů a úloh k procvičení. Oeconomica. Recommended: Pelák, J. (2009). Účetnictví v příkladech : repetitorium k základům účetnictví. Oeconomica. DVOŘÁKOVÁ, Dana. Základy účetnictví. Praha: Wolters Kluwer Česká republika, 2010. ISBN 978-80-7357-544-1."
Commercial Communication,2OP834,Prague University of Economics and Business,Czech Republic,https://insis-test.vse.cz/katalog/syllabus.pl?predmet=71106;aktualni=1;poc_obdobi=1230,2026/2027,WS 2026/2027,winter,bachelor,6.0,ECTS,6.0,"The aim of the course is that students get to know to the issue of marketing and commercial communications and with particular tools of commercial communications (advertisement, direct marketing, sales promotion, public relations, sponsoring and on-line communications) comprehensively. Usage of communication mix within integrated marketing communications, with respect to corporate social responsibility, is stressed. Apart from that, students also learn how to apply communication theory in advertisement. The issue of media is explained in the context of medial strategy and media mix for communication campaign.","1.Marketing and commercial communication (allowance 2/0) a. Marketing communication, substance, characteristics b. Division of marketing communications (ATL and BTL, trends). Integrated marketing communications (IMC). c. c. Forms of commercial communications (substance, characteristics of different forms).c. Forms of commercial communications (substance, characteristics of different forms).Forms of commercial communications (substance, characteristics of different forms). 2.Goals of commercial communications (allowance 2/0) a. Business goal vs. marketing goal vs. goal of commercial communications (relations). b. Possibilities of measuring efficiency of commercial communications in relation to their goal. c. Researches in the field of commercial communications. 3.Target groups in commercial communications (allowance 2/0) a. Marketing segmentation, segments and their definition. b. Target groups in commercial communications. c. Target groups in advertising and media. 4.Message in commercial communications (allowance 2/0) a. Message and appeals in commercial communications. b. Types of appeals used in commercial communications. c. Risks of some statements in advertising. 5.Media in commercial communications (allowance 2/0) a. Medium and its definition, types of media. b. Characteristics of selected media. c. Media mix and its creation, media strategy. 6.Media indicators used in commercial communications. (allowance 2/0) a. Media indicators used in commercial communications. b. Correlation between media indicators. c. Examples of selected media indicators. Media researches. 7.Advertising means and their application (allowance 2/0) a. Advertising mean and its substance. b. Types of advertising means. c. Advertisement, its creation, types, suitable applications. 8.Time schedule and budget in communication campaign (allowance 2/0) a. Time schedule in advertising campaign. b. Models used in TV spots setting. c. Budget in communication campaign. 9.Client and creative brief (allowance 0/0) a. Client brief -- content, creation principles. b. Creative brief -- content, creation principles. c. Necessary and forbidden elements in advertising as part of Client brief. 10.Law and ethics in commercial communications (allowance 2/0) a. Law in commercial communications (private, public). b. Ethics in commercial communications (self-regulation). c. Ethics code RPR. 11.Advertising chain and its individual links (allowance 2/0) a. Clients (submitters of advertising), professional association ČSZV. b. Role of media agency and media representation. c. Advertising agency and media as part of advertising chain. 12.Communication agency and its individual departments (allowance 2/0) a. Management of a communication agency, traffic role. b. Characteristics of individual departments of a communication agency. c. Communication agency tender from an advertising submitter. 13.Competition for advertising efficiency EFFIE (allowance 2/0) a. World advertising competition (World advertising festival in Cannes, Clio). b. Competition EFFIE (history, substance, evaluation criteria, competition categories). c. Presentation of competition EFFIE (DVD show with comments).","-understand the fundamentals of particular forms of marketing and commercial communications, -propose communication mix and media mix for a particular communication campaign, -understand communicational basics of particular advertisement campaign and assess its effectiveness -prepare theses of a project of communication campaign with a given topic -judge communication campaign from the point of view of recommended principles and targets set",Term paper: 55 % Final test: 45 %,"Basic: VYSEKALOVÁ, Jitka; MIKEŠ, Jiří. Reklama. Jak dělat reklamu. 4. vyd. Praha: Grada Publishing, a.s, 2018. 232 p. ISBN 978-80-247-5865-7. JESENSKÝ, Daniel; KARLÍČEK, Miroslav; KRÁL, Petr; POUCHA, Tomáš; STŘÍTESKÝ, Václav; ZAMAZALOVÁ, Marcela. Marketingová komunikace : jak komunikovat na našem trhu. Praha: Grada Publishing, 2016. ISBN 978-80-247-5769-8. BÁRTA, Vladimír; POSTLER, Milan. Retail marketing : (přepracované vydání). Praha: Press21, 2020. ISBN 978-80-907529-1-7. KRUPKA, Jaroslav. Česká reklama : od pana Vajíčka po falešné soby. Brno: BizBooks, 2012. ISBN 978-80-265-0046-9."
Managerial Informatics 1,2OP813,Prague University of Economics and Business,Czech Republic,https://insis-test.vse.cz/katalog/syllabus.pl?predmet=62495;aktualni=1;poc_obdobi=1230,2026/2027,WS 2026/2027,winter,bachelor,6.0,ECTS,6.0,"A good knowledge of the office pack is useful for students both for elaboration of seminar papers, bachelor and master thesis and in everyday business. This course focuses on advanced functions of office software - data analysis spread sheets, programmes for text elaboration, presentation and for creating, recording, categorizing and searching information. With respect to the equipment of classrooms at the University of Economics in Prague, Microsoft Excel, Microsoft Word, Microsoft PowerPoint, Microsoft OneNote and Adobe Acrobat are used in this course. Successful completion of this course can be a good starting point for passing tests in 3 modules (3, 4, 6) of the international certificate ECDL. ECDL testing is available (a fee is charged) at many testing centres in the Czech Republic. In general, knowledge of 7 modules is tested (1. Concepts of ICT, 2. Using the computer and managing files, 3. Word processing, 4. Spread sheets, 5. Using databases, 6. Graphic facilities of PC and ways of electronic presentation, 7. Services of information network). The ECDL certificate is common in the EU countries, where it is widely used and required especially in the state administration. Known as ICDL, it is also popular outside Europe.","1.Data analysis (allowance 0/12) a. Office programmes for data analysis. b. Introduction - Microsoft Office Excel. c. Possibilities of cells formatting, absolute and relative addressing and files editing. d. Inserting graphs, functions and other objects. e. Possibilities of work and display of files. f. Data work, contingence tables. g. Use of macros and the Visual Basic language. 2.Text editingoffice programmes for text editing (allowance 0/6) a. Introduction - Microsoft Office Word. b. Styles and patterns. c. Tables. d. Images, diagrams and other objects in ""word"" documents. e. Lists, resumé and contents. f. Various ways of document view and work with documents. g. Collective correspondence. h. Cooperation with other applications. i. Application setting. j. File conversion into PDF and various setting possibilities (bookmarks, security, document creation from various sources). k. Further document elaboration in the PDF format (adding, cutting off pages, heading, numbers of pages, work with images, hypertext references). l. Forms in PDF. 3.Presentation (allowance 0/8) a. Office programmes used for presentations. b. Introduction - Microsoft Office PowerPoint. c. Inserting images, slides, work with patterns. d. Presentation editing by adding slide animations. e. Other options during projection.","- use advanced functions of office software effectively, - analyse data in the spread sheet application Microsoft Excel, - prepare well-arranged text documents in Microsoft Word, - prepare impressive presentations in Microsoft PowerPoint, - process information in Microsoft OneNote. The students will be able to: - prepare individual presentation on IT topic within seminar work, - defence their own project (both at colloquium and during defence).",Active lecture/seminar/workshop/tutorial participation: 6 % Term paper: 18 % Mid-term test(s): 38 % Final test: 26 % Home works: 12 %,"Basic: Kubálková, M., Kubálek, T., & Topolová, I. (2013). Tabulkový program Microsoft Excel 2013. Nakladatelství Oeconomica. Topolová, I., Kubálek, T., & Kubálková, M. (2013). Textový procesor Microsoft Word 2013. Nakladatelství Oeconomica. Kubálek, T., & Kubálková, M. (2009). Prezentační program Microsoft Office PowerPoint : verze 2007 CZ. Oeconomica. Kubálková, M., & Kubálek, T. (2014). Microsoft OneNote 2013. Program na uchovávání a sdílení informací (2nd ed.). Nakladatelství Oeconomica. Recommended: KUBÁLEK, Tomáš; ANDRES, Pavel. Informatika. Tabulkový program Microsoft Excel. 1. vyd. Praha: České vysoké učení technické v Praze, Masarykův ústav vyšších studií, 2023. 206 s."
Managerial Informatics 2,2OP833,Prague University of Economics and Business,Czech Republic,https://insis-test.vse.cz/katalog/syllabus.pl?predmet=70956;aktualni=1;poc_obdobi=1230,2026/2027,WS 2026/2027,winter,bachelor,6.0,ECTS,6.0,"With the growing integration of Czech enterprises into international cooperation, the need to know management techniques common in the USA and the EU is becoming more important. Project management and project style of company management are some of these techniques. The aim of this course is to teach students how to plan, control and manage projects with the use of a computer. A demonstration of software for project management and diagram creation is a part of the course. Thanks to the DreamSpark programme, students will have the possibility to use Microsoft Project and Microsoft Visio both during the course as well as during their individual study.","1.Project management (allowance 0/14) a. Fundamentals of project management theory. b. Introduction of Microsoft Office Project, project foundation. c. Calendars, their types, calendar administration. d. Objectives (tasks), their types, outlines, repeated task, codes of WBS outline, grouping, self outline, ranging and filtering. e. Resources, their types, resources assignment to tasks, change of duration, units of assignment, work, planning driven by effort, overloading by resources, delay of assignment, overtime work. f. Costs, their types, task costs, resource costs. g. Project process monitoring, types of monitoring, directive plan, overtime work, over-planning of incomplete work. h. Project display, its types, table and graph formats, form display, calendar display, network diagram, diagram of resources, self display. i. Display print. Use and creation of compilations. j. Project patterns. Organizer of project objects. Project publishing on web sites. Work on more projects. k. Further tools for project work: macros, arrays, graphic indicators, EVA and PERT analysis. 2.Scheme creation (allowance 0/10) a. Use of scheme in business processes analysis, project planning, display of thinking processes, graphic illustration of organization scheme, illustration of network infrastructures, plans of space layouts and equipment, software systems and database structures. b. Introduction of Microsoft Office Visio programme. c. Layers, styles, fixtures and points, flowlines, colour tables, use of figures. d. Drawing foundation, use of grab points, work with figures and their formatting. Drawing and figure editing. e. Work with group, flowlines and text. f. Print. g. Export and import into database systems and other programmes. h. Examples of scheme creation: diagram of development, map of business surroundings, table and graph of turnover development, project plan, calendar, time axis, organization scheme of a company, marketing graphs and diagrams, call system, building(house) with equipment. 3.Recording, screening and seeking for information (allowance 0/2) a. The importance of recording and structuring personal remarks (during task solution) and project realization. b. Introduction of Microsoft Office OneNote programme. c. Forms of remark recording (hand writing, keyboard writing, sound, video, remarks from PDA). d. Hierarchy of One Note agenda: components, divisions, pages, subpages, sets of formulas. e. Remarks organization: containers, bullets, lists, outlines, keyboard shortcuts. f. Cooperation with other programmes. g. Work with remarks: searching, signs. h. Remarks sharing.","- plan, control and manage projects with the use of the program Microsoft Project, - create multiple diagrams or plans in Microsoft Visio. Students will also be able to - propose an individual solution of their own project within seminar work, - defence their own project (both at colloquium and during defence).",Active lecture/seminar/workshop/tutorial participation: 6 % Term paper: 18 % Mid-term test(s): 38 % Final test: 26 % Home works: 12 %,"Basic: Kubálek, T., & Kubálková, M. (2015). Program pro řízení projektů Microsoft Project 2013 (1st ed.). Nakladatelství Oeconomica. Kubálek, T., & Kubálková, M. (2015). Program pro tvorbu diagramů Microsoft Visio 2013 (1st ed.). Nakladatelství Oeconomica."
Managerial Informatics 3,2OP853,Prague University of Economics and Business,Czech Republic,https://insis-test.vse.cz/katalog/syllabus.pl?predmet=70975;aktualni=1;poc_obdobi=1230,2026/2027,WS 2026/2027,winter,bachelor,6.0,ECTS,6.0,"Students will get to know the possibilities of database systems, which are a part of office packs. Students will learn how to work with the database system Microsoft Access with the aim to use it in their bachelor and master thesis and in their future occupation. Thanks to the MSDN AA programme students will have the possibility to use the MS Access programme free of charge. Passing this course can be a good starting point to pass the test of module No. 5 of the international certificate ECDL. The ECDL certificate is common in the EU countries, where it is widely used and required especially in the state administration. Known as ICDL, it is also popular outside Europe.","1.Basic database notions. (allowance 0/0) 2.Introduction of the Microsoft Office Access programme. (allowance 0/0) 3.Database constitution. (allowance 0/0) 4.Relation between tables in a database and ensuring reference integrity. (allowance 0/0) 5.Array specification and table characters. (allowance 0/0) 6.Enquiry creation. (allowance 0/0) 7.Creation of form for data inserting and print sets for their presentation. (allowance 0/0) 8.Creation of macros and fundamentals of Visual Basic. (allowance 0/0) 9.Cooperation of Access with other programmes, data export and import. (allowance 0/0) 10.Data publishing on web sites. (allowance 0/0)","work with the database system Microsoft Access, especially: - to define a database and relations between database tables; - to design queries; - to prepare forms and reports; - to use Visual Basic to adjust functions. Students will also be able to: - propose individual solution of an own database within seminar work - defence their own project (both at colloquium and during defence).",Active lecture/seminar/workshop/tutorial participation: 6 % Term paper: 18 % Mid-term test(s): 32 % Final test: 32 % Home works: 12 %,"Basic: Kubálek, T., & Kubálková, M. (2016). Databázový systém Microsoft Access 2016 (1st ed.). Nakladatelství Oeconomica. Kubálek, T. (2022). Manažerská informatika. Interaktivní analýza a vizualizace dat Microsoft Power BI (1st ed.). České vysoké učení technické v Praze, Masarykův ústav vyšších studií. https://horec-my.sharepoint.com/personal/kubalek_horec_onmicrosoft_com/Documents/MIN/1%20prezen%c4%8dn%c3%ad%20v%c3%bduka/MIN2/3%20Power%20BI/1%20u%c4%8debn%c3%ad%20text/PowerBI.pdf?ga=1"
Managerial Informatics 4,2OP863,Prague University of Economics and Business,Czech Republic,https://insis-test.vse.cz/katalog/syllabus.pl?predmet=70977;aktualni=1;poc_obdobi=1230,2026/2027,WS 2026/2027,winter,bachelor,6.0,ECTS,6.0,"Team collaboration software tools are playing increasingly important role in every manager´s work. Cloud technologies are one of them. The aim of this course is to teach the students to work with a system of unified communications Office 365, especially to create team sites (intranet). In addition, students learn about customer relationship management (CRM) in sales, marketing and services. Thanks to support the company Microsoft provides to schools, the students can through the web interface use Office 365 (SharePoint, OneDrive for Business, Forms, Sway, Power Apps, Stream).",1.The Basics of Office 365 (allowance 0/4) a. Introduction to the subject. b. Office 365 - principles and plans. c. OneDrive for Business - shared documents storage. d. Forms - creation of surveys. e. Record of meetings through Teams. 2.SharePoint - team collaboration with the focus on sharing information through team websites (allowance 0/12) a. Type of sites. b. Create of site. c. Libraries. d. Lists. e. Web parts. f. Export to other applications. g. User groups and permissions. h. Library and list properties. i. Site settings. j. G Suite - differences and benefits over Office 365. 3.Other Office 365 applications (allowance 0/10) a. Power BI - data analysis and visualization. b. Administration of Office 365. c. Groups of Office 365. d. Teams - center for team cooperation. e. Pulse - voting applications. f. Stream - the internal video portal of the company. g. Power Automate - flow in different applications. h. Power Apps - programming of mobile applications. i. Delve - searching for information in the intranet. j. MyAnalytics - analysis of working time utilization. k. Bookings - reservations in small and medium-sized businesses. l. StafHubb - shift planning. m. Planner and To-Do - task planning and tracking. n. Yammer - corporate social network.,"- share information through team sites using the program Microsoft SharePoint, - create a website using Wix. - propose their own solution of team web within seminar paper, - defence their own project (both within colloquium and within defence).",Active lecture/seminar/workshop/tutorial participation: 6 % Term paper: 18 % Presentation or defence: 0 % Mid-term test(s): 32 % Final test: 32 % Home works: 12 %,"Basic: Kubálek, T. (2022). Manažerská informatika. Nástroj týmové spolupráce Microsoft Teams (1st ed.). České vysoké učení technické v Praze, Masarykův ústav vyšších studií. https://horec-my.sharepoint.com/personal/kubalek_horec_onmicrosoft_com/Documents/MIN/1%20prezen%c4%8dn%c3%ad%20v%c3%bduka/MIN2/4%20Teams/1%20u%c4%8debn%c3%ad%20text/Teams.pdf?ga=1 Kubálek, T. (2022). Manažerská informatika. Interaktivní analýza a vizualizace dat Microsoft Power BI (1st ed.). České vysoké učení technické v Praze, Masarykův ústav vyšších studií. https://horec-my.sharepoint.com/personal/kubalek_horec_onmicrosoft_com/Documents/MIN/1%20prezen%c4%8dn%c3%ad%20v%c3%bduka/MIN2/3%20Power%20BI/1%20u%c4%8debn%c3%ad%20text/PowerBI.pdf?ga=1"
Marketing Management,2OP823,Prague University of Economics and Business,Czech Republic,https://insis-test.vse.cz/katalog/syllabus.pl?predmet=71102;aktualni=1;poc_obdobi=1230,2026/2027,WS 2026/2027,winter,bachelor,6.0,ECTS,6.0,"The course is focused on the basics of company marketing management introducing useful terms, concepts and tools.","1.Marketing and strategic marketing planning (allowance 4/0) a. Marketing, marketing vs production philosophy b. Marketing strategic planning, analysis of the interaction between internal and external environment of the business entity 2.Market segmentation (allowance 4/0) a. Categories of segmentation b. Segment and its definition c. Types of marketing segmentation 3.Branding and Positioning (allowance 4/0) a. Product and brand (substance, differences) b. Brands typology, principles of creating a successful brand c. Branding strategy 4.Marketing mix and its application in marketing management (allowance 4/0) a. Marketing product concept b. Product life cycle c. Product mix management 5.Marketing pricing methods (allowance 4/0) a. Cost-oriented pricing methods b. Required price c. Price based on perceived value d. Price based on price competition e. Psychological price 6.Distribution channels (allowance 4/0) a. Trade and its role in the supply chain b. Distribution channel strategy c. Forms of sales and their application 7.Communication policy (allowance 2/0) a. Marketing communication and message b. Communication mix","- understand the basics of marketing management and its relationship with the company overall strategy, - use the segmentation process and find the fit of the segment and the product, - characterize particular tools of marketing management and use proper models od 4P, - explore the influence of particular stakeholders on company management, - draft the company marketing plan.",Active lecture/seminar/workshop/tutorial participation: 6 % Term paper: 34 % Final test: 60 %,"Basic: Karlíček, M. (2018). Základy marketingu. Grada Publishing, a.s. Recommended: Armstrong, G., & Kotler, P. (2004). Marketing. Grada. KOTLER, Philip; NOVÝ, Vladimír. Moderní marketing : 4. evropské vydání. Praha: Grada, 2007. ISBN 978-80-247-1545-2. Keller, K. L., & Kotler, P. (2007). Marketing management. Grada. Armstrong, G., & Kotler, P. (2012). Principles of marketing. Pearson. KOTLER, Philip. 10 smrtelných marketingových hříchů : jak je rozpoznat a nespáchat. Praha: Grada, 2005. ISBN 80-247-0969-4. Armstrong, G., Kotler, P., & Opresnik, M. O. (2021). Principles of marketing. Pearson."
International business environment,2OP841,Prague University of Economics and Business,Czech Republic,https://insis-test.vse.cz/katalog/syllabus.pl?predmet=70948;aktualni=1;poc_obdobi=1230,2026/2027,WS 2026/2027,winter,bachelor,6.0,ECTS,6.0,"The class aims at understanding current economic situation in the world as well as the relations between different actors of the global economy, which influence business environment in the Czech Republic and in Europe. In respect to globalization of the world economy, it should identify the main challenges of economic development in the European Union as well as in the Czech Republic. Analysis of economic crises, their consequences and reaction of the economic policy is another part of the course.","1.Globalization of the world economy, basic characteristics and main trends of economic development (allowance 9/0) a. Economic growth; formal and informal institutions b. Effects of globalization on differentiation of living standards, flows and prices of goods. Potential for development of the international economic environment. c. Economic role of states, regional integrations and international organizations in the current world economy, basic stages of the world economy development d. The current world economic situation, causes and consequences of economic crises and their solutions 2.World economy centres and their economic environment (allowance 9/0) a. Economic policy of the state, competitiveness and its measurement, basic prerequisites for sustainable development of economic activity b. Europe -- postwar economic integration (EU, ESVO), economic systems and policies of the European countries, competitiveness of the European countries, transformation and association process of the central and eastern European countries, economic integration of the whole European region c. North America -- the USA as a dominant world economy centre, characteristics of its economic politics and international relations, NAFTA/USMCA, financial crisis and deficits of the USA d. BRIC and N11 countries -- the changing role of Japan, Asian newly industrialized countries, India and China as future economic powers; Russia, central Asia and Near East; Brazil and Latin America 3.European Union and its impact on the economic environment in Europe and the Czech Republic (allowance 8/0) a. Basic trends of the European integration process development b. Functioning of the European Union, institutions, budget and EU politics c. Internal market, monetary union and coordination of the EU economic policies d. Current situation and future challenges of the European Union","- understand basic trends of the current world economy including globalization, competitiveness and economic integration, - know the characteristics of world economy centres and understand differences in their economic systems and current development, - understand the functioning of the European Union and assess its impact on business environment in Europe and in the Czech Republic, - understand the significance of economic institutions and their influence on the business environment and economic growth, - understand the causes of economic crises and their repercussions for the business environment and economic policy, - apply knowledge of the global business environment on their economic or business activities.",Active lecture/seminar/workshop/tutorial participation: 10 % Final test: 60 % Home assignments: 30 %,"Basic: HNÁT, Pavel. Politická ekonomie globálních nerovnováh. 1. vyd. Praha: Nakladatelství Oeconomica, 2014. 232 p. ISBN 978-80-245-2023-0. Baldwin, R. E., & Wyplosz, C. (2013). Ekonomie evropské integrace. Grada Publishing. Recommended: DICKEN, Peter. Global shift : mapping the changing contours of the world economy. New York: Guilford Press, 2015. ISBN 978-1-4625-1955-2. ACEMOGLU, Daron; ROBINSON, James A. Proč státy selhávají : kořeny moci, prosperity a chudoby. Praha: Argo, 2015. ISBN 978-80-257-1305-1. ALIBER, Robert Z.; KINDLEBERGER, Charles Poor. Manias, panics and crashes : a history of financial crises. Basingstoke: Palgrave Macmillan, 2011. ISBN 978-0-230-36535-3."
International Business Operations,2OP831,Prague University of Economics and Business,Czech Republic,https://insis-test.vse.cz/katalog/syllabus.pl?predmet=70945;aktualni=1;poc_obdobi=1230,2026/2027,WS 2026/2027,winter,bachelor,6.0,ECTS,6.0,"The aim of the course is that students get familiar with business transactions that cross national boundaries. The course includes international trade in goods as well as bank, transport, insurance, marketing and related services both in the EU and in the third countries. Business transactions realized by both private and public sector are mentioned, with special emphasis on transactions of multinational corporations.","1.Channels of distribution, definitions, types, factors of selection. Processing international business operations. (allowance 0/0) 2.Subject of international trade. (allowance 0/0) 3.Contracts for the international sale of goods. Definition, conclusion and forms of sales contracts, their contents. Fulfilment of the contract, documents used in international trade, transfer of data. (allowance 0/0) 4.Terms of delivery. Definitions and functions, Incoterms 2000. The relation of terms of delivery to other conditions of the contract. (allowance 0/0) 5.Price in international trade, criteria for price selection, price calculation, price and risk assessment of the transaction, level risk of transaction. Dumping, antidumping procedures, measures used against dumping. Essential price strategies. (allowance 0/0) 6.Terms of payment, their function and criteria of selection. Forms of payment. (allowance 0/0) 7.Bills of exchange and cheques in international trade. Promissory notes, bills of exchange, their essentials, negotiation and discounting. Guaranteed bills of exchange. Essentials of cheques, types of cheques. (allowance 0/0) 8.Documentary forms of payment: Documentary letters of credit, definition, types, applicability. Documentary collection, definition, types, applicability. Open account trade, clean payment, forwarder's collection on delivery, system of electronic banking. (allowance 0/0) 9.Intermediaries in international trade, seller-buyer relations, sole distributor/importer contracts, international agency contracts, commercial representation, consignment sale. (allowance 0/0) 10.Logistics in international trade, shipping operations, contractual arrangements in shipping operations, forwarder's contract, shipping contract, charters. International multimodal transport , documents used in international transport of goods, optimizition of transporting systems. General Average. (allowance 0/0) 11.Registration of internal EU business, reporting of value added taxes, VIES system, Intrastat reporting system, registration of special customs arrangements as re-exports, consignment stocks etc. (allowance 0/0) 12.Insurance and underwriting in international trade. Insurance of international transport, New Marine Policy. Insurance of international credits and documentary instruments. Insurance of product liability. Insurance of fairs and exhibitions. (allowance 0/0) 13.Risk of non payment, definition, methods of reduction. Deferred letters of credit, bills of exchange, bank guarantees, insurance of credits, retention of title to the goods. Debt management, hedging. (allowance 0/0)",- realize business transactions in the intra-trade including differences to trading with third countries outside the EU -analyse business operation tools in the above mentioned area.,Term paper: 20 % Final test: 80 %,"Basic: Sato, A. et al. (2021). Mezinárodní obchodní operace (1st ed.). Nakladatelství Oeconomica. Recommended: Machková, H., Sato, A., & Zamykalová, M. (2002). Mezinárodní obchod a marketing : [praktická výkladová encyklopedie]. Grada."
