course_code;source_group
BST-2413;programmeinfo
EBA-1180;programmeinfo
EBA-3400;programmeinfo
EBA-3501;programmeinfo
EBA-3610;programmeinfo
EBA-3630;programmeinfo
EDI-3400;programmeinfo
EDI-3410;programmeinfo
EDI-3500;programmeinfo
EDI-3510;programmeinfo
EDI-3520;programmeinfo
EDI-3530;programmeinfo
ELE-3709;programmeinfo
ELE-3732;programmeinfo
ELE-3736;programmeinfo
ELE-3750;programmeinfo
ELE-3781;programmeinfo
ELE-3795;programmeinfo
ELE-3798;programmeinfo
ELE-3905;programmeinfo
ELE-3908;programmeinfo
ELE-3910;programmeinfo
ELE-3911;programmeinfo
ELE-3912;programmeinfo
ELE-3916;programmeinfo
ELE-3919;programmeinfo
ELE-3922;programmeinfo
EXC-2901;programmeinfo
EXC-3401;programmeinfo
EXC-3402;programmeinfo
EXC-3420;programmeinfo
EXC-3430;programmeinfo
EXC-3452;programmeinfo
EXC-3460;programmeinfo
EXC-3500;programmeinfo
EXC-3505;programmeinfo
EXC-3506;programmeinfo
EXC-3580;programmeinfo
EXC-3603;programmeinfo
EXC-3611;programmeinfo
EXC-3612;programmeinfo
EXC-3630;programmeinfo
EXC-3631;programmeinfo
EXC-3650;programmeinfo
EXC-3670;programmeinfo
EXC-3671;programmeinfo
EXC-3672;programmeinfo
FIN-3616;programmeinfo
FIN-3618;programmeinfo
FORK-2200;programmeinfo
GRA-2235;programmeinfo
GRA-2245;programmeinfo
GRA-2257;programmeinfo
GRA-2269;programmeinfo
GRA-2271;programmeinfo
GRA-2272;programmeinfo
GRA-2273;programmeinfo
GRA-3114;programmeinfo
GRA-3115;programmeinfo
GRA-4137;programmeinfo
GRA-4164;programmeinfo
GRA-6239;programmeinfo
GRA-6288;programmeinfo
GRA-6292;programmeinfo
GRA-6294;programmeinfo
GRA-6296;programmeinfo
GRA-6420;programmeinfo
GRA-6428;programmeinfo
GRA-6433;programmeinfo
GRA-6440;programmeinfo
GRA-6535;programmeinfo
GRA-6539;programmeinfo
GRA-6542;programmeinfo
GRA-6552;programmeinfo
GRA-6559;programmeinfo
GRA-6560;programmeinfo
GRA-6566;programmeinfo
GRA-6664;programmeinfo
GRA-6665;programmeinfo
GRA-6672;programmeinfo
GRA-6723;programmeinfo
GRA-6845;programmeinfo
GRA-6853;programmeinfo
KLS-3561;programmeinfo
MRK-3430;programmeinfo
MRK-3544;programmeinfo
NSA-2510;programmeinfo
NSA-2512;programmeinfo
NSA-2521;programmeinfo
TEM-0043;tem
TEM-0057;tem
TEM-0042;tem
TEM-0421;tem
TEM-0045;tem
TEM-0480;tem
TEM-0420;tem
TEM-0481;tem
TEM-0241;tem
TEM-0240;tem
TEM-0055;tem
TEM-0603;tem
TEM-0460;tem
TEM-0037;tem
TEM-0602;tem
TEM-0601;tem
TEM-0640;tem
TEM-0029;tem
TEM-0035;tem
TEM-0203;tem
TEM-0521;tem
TEM-0202;tem
TEM-0520;tem
TEM-0204;tem
TEM-0221;tem
TEM-0220;tem
TEM-0222;tem
TEM-0056;tem
TEM-0400;tem
TEM-0441;tem
TEM-0600;tem
TEM-0440;tem
TEM-0401;tem
TEM-0641;tem
TEM-0541;tem
TEM-0252;tem
TEM-0540;tem
TEM-0251;tem
